"subject_nr","PPList","Identical","Orientation1","Orientation2","Picture1","Picture2","response","correct","response_time","gender","year","month","fullscreen","File","opensesame_codename","opensesame_version","experiment_file"
1,"PP_LIST1.csv","F","F","F","wndmil.jpg","mitten.jpg","j",0,277,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","H","V","keyH.jpg","keyV.jpg","j",1,256,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","V","V","fire_extinguisherV.jpg","fire_extinguisherV.jpg","j",1,314,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","V","H","scssorV.jpg","scssorH.jpg","j",1,364,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","V","H","penV.jpg","penH.jpg","j",1,451,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","ladder.jpg","house.jpg","j",0,319,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","buggy.jpg","glass.jpg","j",0,424,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","needle.jpg","tiger.jpg","j",0,320,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","H","H","broomH.jpg","broomH.jpg","j",1,356,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","Y","V","V","brushV.jpg","brushV.jpg","j",1,443,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","knife.jpg","ladder.jpg","j",0,543,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","ftball.jpg","nut.jpg","j",0,318,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","V","H","plateV.jpg","plateH.jpg","j",1,321,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","V","H","tireV.jpg","tireH.jpg","j",1,362,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","V","H","screwV.jpg","screwH.jpg","j",1,376,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","N","H","V","nailH.jpg","nailV.jpg","j",1,376,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","tlphon.jpg","knife.jpg","j",0,561,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
1,"PP_LIST1.csv","F","F","F","pumpkin.jpg","trmpet.jpg","j",0,205,"Male",1002,9,"no","subject-1.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
