judgment,stimulus_sex,type,user_id,rater_sex,sexpref,rater_age,alexandra,anastazie,anezka,bera,bohdana,brenda,carol,christianne,dagmar,debra,dobromila,dusana,edita,eleanora,elena,eugenia,evzenie,gabriela,gejza,ida,ingrid,irena,jindriska,jitka,karina,kordula,lea,linda,livia,lujza,margita,marika,matylda,miloslava,milota,miriama,peggy,perla,radmila,sarlota,saskie,sidonia,stela,tamara,ursula,viktoria,viola,vladena,zelmira,zlata
attractive,female,body,527160,male,women,19.1,3,1,1,4,1,1,6,2,7,4,4,1,1,5,1,4,4,3,4,6,4,1,5,4,1,5,5,6,1,5,4,1,4,6,1,1,1,7,6,6,3,1,3,5,1,6,4,7,4,7
attractive,female,body,130175,male,men,28.3,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,3,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,2,3,3
attractive,female,body,335333,male,women,32.0,5,5,3,5,3,4,5,6,6,5,3,2,3,2,3,4,2,2,5,4,5,2,5,2,4,3,2,4,2,3,3,4,4,6,5,5,5,4,6,2,4,3,3,4,2,4,5,5,3,7
attractive,female,body,518947,male,women,34.7,4,1,2,2,1,3,2,2,5,2,2,2,2,3,2,2,2,2,3,5,2,1,2,2,1,1,4,4,4,5,3,3,2,3,3,3,2,4,5,2,2,3,3,4,1,4,3,5,1,5
attractive,female,body,522024,male,women,32.0,6,3,6,4,5,4,6,4,6,7,5,3,6,6,5,6,7,5,7,6,6,4,6,6,3,4,5,6,4,6,6,4,5,7,5,5,4,6,7,7,6,4,5,7,4,6,6,7,4,7
attractive,female,body,524146,male,women,19.9,6,3,5,3,6,2,3,3,5,2,4,6,4,7,6,1,7,3,7,4,3,1,3,2,2,1,2,5,5,2,4,3,2,3,4,4,1,6,7,4,1,2,3,6,2,4,3,6,5,3
attractive,female,body,525174,male,women,32.0,5,4,2,4,3,4,5,3,3,4,3,3,2,3,3,2,5,3,5,5,3,3,6,3,4,4,4,4,3,4,2,3,5,5,4,5,2,5,3,5,2,1,4,5,2,6,4,5,2,5
attractive,female,body,525937,male,women,19.5,3,1,1,4,3,2,2,1,4,2,2,1,4,2,3,1,3,2,3,4,2,1,2,5,2,4,3,3,3,2,2,2,1,4,2,1,1,2,6,4,1,3,4,3,3,4,3,3,2,4
attractive,female,body,526740,male,neither,40.8,6,1,1,1,2,1,2,1,1,4,5,1,2,1,5,2,4,1,2,3,5,1,4,3,1,2,2,2,2,3,3,1,1,2,1,1,1,5,3,2,1,1,1,4,2,3,2,6,2,5
attractive,female,body,526960,male,women,53.9,1,1,2,2,3,1,1,1,1,4,2,2,2,2,1,1,1,1,3,4,2,1,2,2,2,1,1,4,2,4,2,1,2,5,2,2,1,3,5,2,3,1,1,4,1,4,4,4,3,6
attractive,female,body,527009,male,women,29.5,7,7,2,6,2,7,7,3,4,7,3,6,2,6,2,3,4,3,5,7,7,1,3,4,2,6,3,6,7,5,5,3,7,3,7,5,2,6,1,4,4,1,4,4,5,3,5,7,3,5
attractive,female,body,121348,male,women,28.2,4,1,3,4,2,4,5,3,6,4,5,1,2,4,3,3,4,2,3,5,4,2,3,4,2,4,4,4,3,4,3,2,2,3,3,3,1,3,4,5,2,1,5,4,2,4,4,4,2,5
attractive,female,body,520483,female,men,19.1,5,3,3,6,3,2,3,2,7,6,6,3,3,2,5,5,2,4,3,5,3,3,5,6,3,2,5,6,2,6,3,5,2,4,3,2,6,2,7,5,3,3,3,6,3,6,5,5,6,6
attractive,female,body,519617,female,men,45.8,2,1,2,2,3,2,2,3,3,2,3,1,3,1,2,3,2,2,3,2,2,2,3,4,2,2,2,3,2,2,2,2,2,3,2,2,1,2,3,3,3,3,2,3,2,4,2,2,2,3
attractive,female,body,518006,female,men,51.3,4,1,3,2,2,2,2,2,6,4,5,1,3,2,4,3,2,1,5,4,1,2,5,5,3,3,2,4,3,6,5,3,1,6,1,1,1,6,5,4,2,3,1,6,2,5,2,6,3,6
attractive,female,body,518841,female,women,27.2,4,6,5,4,4,4,4,3,5,4,3,3,3,4,2,3,5,4,3,3,5,3,4,3,3,5,4,3,4,4,4,2,4,5,5,3,5,5,4,3,4,2,5,6,4,4,4,5,3,4
attractive,female,body,520762,female,men,21.5,3,2,2,4,2,2,4,2,6,2,4,2,3,3,2,5,2,3,2,4,2,2,2,5,3,2,2,4,2,3,2,3,2,2,2,3,4,2,6,5,2,4,3,4,5,3,4,3,3,5
attractive,female,body,524462,female,men,22.9,5,3,4,5,4,5,4,4,4,4,4,4,4,6,4,3,5,4,5,6,4,3,4,5,3,4,5,5,5,5,5,5,4,5,3,5,4,5,4,4,5,3,4,4,4,5,6,5,4,6
attractive,female,body,525032,female,men,33.4,3,2,4,2,1,3,3,3,3,2,5,2,3,2,5,4,2,3,5,2,5,2,5,3,3,2,3,4,4,3,4,3,3,4,3,3,2,3,4,2,4,2,3,2,2,4,3,4,5,5
attractive,female,body,525769,female,men,18.4,3,2,4,2,2,5,5,4,3,3,4,5,2,5,2,3,5,3,3,3,5,2,4,4,2,3,2,4,2,5,4,4,3,3,3,4,2,3,3,4,5,2,4,3,3,3,3,4,3,4
attractive,female,body,526919,female,men,30.1,3,2,1,1,1,2,5,2,2,4,3,1,2,3,1,3,2,1,2,2,1,2,2,2,1,4,2,4,1,1,2,2,1,2,1,6,1,2,1,1,1,3,1,1,1,3,1,2,1,4
attractive,female,body,526979,female,men,18.8,2,4,3,2,2,2,2,5,4,6,4,2,4,2,2,3,6,3,3,2,2,1,4,4,2,3,4,2,1,2,2,3,2,4,5,5,5,5,3,1,4,1,3,3,3,2,3,4,3,4
attractive,female,body,527070,female,men,20.4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,4,5,4,4,4,4,5,5,4,4,5,4,4,5,4,4,4,5,4,3,4,5,4,4,4,5,4,6
attractive,female,body,518341,female,men,22.8,5,3,3,4,5,3,2,2,5,4,4,2,4,4,5,5,4,2,5,5,3,2,6,5,3,3,3,5,4,4,4,4,3,5,3,3,2,5,6,5,2,4,4,4,4,5,4,4,5,6
caring,female,body,521318,male,women,26.7,4,2,1,3,2,6,4,3,4,3,3,2,3,3,2,1,1,3,2,5,3,3,2,3,1,1,2,3,4,4,3,2,3,4,4,6,1,3,1,3,2,4,4,2,3,2,3,7,4,5
